School Name,School Type,TOTAL_Enrollment,First Language Not English,Students With Disabilities,Percent Students With Disabilities,High Needs,Percent High Needs,Economically Disadvantaged,Percent Economically Disadvantaged,Percent African American,Percent Asian,Percent Hispanic,Percent White,Percent Native American,"Percent Native Hawaiian, Pacific Islander","Percent Multi-Race, Non-Hispanic",Percent Males,Percent Females,Average Class Size,Percent Graduated,Percent Non-Grad Completers,Percent GED,Percent Dropped Out,High School Graduates (#),Attending Coll./Univ. (#),Percent Attending College,Percent Private Two-Year,Percent Private Four-Year,Percent Public Two-Year,Percent Public Four-Year,Percent MA Community College,Percent MA State University,Percent UMass,AP_Test Takers,AP_Tests Taken,AP_One Test,AP_Two Tests,AP_Three Tests,AP_Four Tests,AP_Five or More Tests,AP_Score=1,AP_Score=2,AP_Score=3,AP_Score=4,AP_Score=5,Percent AP_Score 1-2,Percent AP_Score 3-5,SAT_Tests Taken,Average SAT_Reading,Average SAT_Writing,Average SAT_Math
Ipswich High,Public School,543,16.0,67.0,12.3,103.0,19.0,49.0,9.0,0.7,2.0,3.5,90.8,0.0,0.0,2.9,49.7,50.3,12.2,94.7,0.8,0.8,2.3,146.0,118.0,80.8,0.0,39.8,14.4,45.8,13.6,12.7,17.8,126,232,49.0,50.0,25.0,2.0,0.0,5.0,41.0,80.0,72.0,34.0,19.8,80.2,110.0,528.0,520.0,514.0
King Philip Regional High,Public School,1320,30.0,145.0,11.0,226.0,17.1,107.0,8.1,1.3,1.7,1.5,93.5,0.0,0.1,1.9,53.0,47.0,19.1,95.9,0.5,0.3,1.1,269.0,235.0,87.4,0.0,42.1,14.9,43.0,13.6,12.8,13.2,398,705,214.0,93.0,66.0,19.0,6.0,27.0,113.0,214.0,197.0,154.0,19.9,80.1,332.0,551.0,535.0,544.0
Lee Middle/High School,Public School,349,23.0,44.0,12.6,128.0,36.7,98.0,28.1,0.0,2.0,8.9,87.1,0.0,0.0,2.0,49.9,50.1,12.3,87.7,0.0,3.1,3.1,51.0,36.0,70.6,0.0,16.7,30.6,52.8,30.6,25.0,11.1,62,130,20.0,21.0,19.0,1.0,1.0,32.0,48.0,35.0,13.0,2.0,61.5,38.5,32.0,532.0,519.0,508.0
Leicester High,Public School,455,24.0,56.0,12.3,131.0,28.8,88.0,19.3,4.6,3.1,4.8,84.8,0.7,0.4,1.5,50.5,49.5,16.3,87.6,0.9,1.8,1.8,101.0,82.0,81.2,0.0,28.0,26.8,45.1,26.8,22.0,19.5,100,138,70.0,22.0,8.0,0.0,0.0,28.0,31.0,42.0,22.0,15.0,42.8,57.2,87.0,524.0,513.0,529.0
Lenox Memorial High,Public School,455,29.0,43.0,9.5,118.0,25.9,86.0,18.9,0.7,5.3,6.4,85.3,0.2,0.0,2.2,45.5,54.5,11.3,97.6,0.0,0.0,0.0,64.0,59.0,92.2,0.0,32.2,37.3,30.5,32.2,6.8,15.3,49,91,27.0,9.0,8.0,4.0,1.0,19.0,9.0,17.0,24.0,22.0,30.8,69.2,37.0,598.0,592.0,599.0
Leominster High School,Public School,1086,236.0,166.0,15.3,432.0,39.8,298.0,27.4,9.1,3.3,26.0,59.4,0.4,0.0,1.8,46.9,53.1,13.4,90.5,1.5,1.5,3.4,288.0,217.0,75.3,0.0,15.7,33.6,50.7,33.6,25.3,14.3,149,280,65.0,54.0,19.0,6.0,5.0,45.0,86.0,69.0,55.0,25.0,46.8,53.2,226.0,487.0,464.0,501.0
Lexington High,Public School,2185,526.0,217.0,9.9,394.0,18.0,122.0,5.6,3.5,36.2,3.6,52.4,0.0,0.0,4.2,50.2,49.8,19.2,98.1,0.0,0.4,0.6,482.0,406.0,84.2,0.0,61.3,6.2,32.5,5.7,2.5,13.5,819,"1,622",386.0,232.0,99.0,51.0,51.0,18.0,74.0,214.0,492.0,824.0,5.7,94.3,471.0,619.0,611.0,645.0
Lincoln-Sudbury Regional High,Public School,1568,56.0,241.0,15.4,305.0,19.5,87.0,5.5,4.3,6.1,4.2,80.6,0.1,0.1,4.7,49.7,50.3,19.7,98.2,0.0,0.0,0.0,384.0,332.0,86.5,0.0,63.9,4.8,31.3,4.2,2.7,9.3,235,339,157.0,59.0,14.0,3.0,2.0,7.0,7.0,42.0,95.0,188.0,4.1,95.9,336.0,577.0,572.0,610.0
Littleton High School,Public School,467,13.0,87.0,18.6,105.0,22.5,25.0,5.4,0.4,4.9,1.5,89.7,0.0,0.6,2.8,49.0,51.0,15.8,98.1,0.0,0.0,0.0,101.0,88.0,87.1,0.0,38.6,8.0,53.4,5.7,14.8,19.3,97,213,32.0,32.0,19.0,10.0,4.0,3.0,13.0,51.0,69.0,77.0,7.5,92.5,96.0,578.0,578.0,589.0
Longmeadow High,Public School,947,43.0,150.0,15.8,195.0,20.6,52.0,5.5,2.4,8.7,3.8,82.9,0.0,0.1,2.1,49.8,50.2,18.9,98.8,0.0,0.4,0.0,246.0,227.0,92.3,0.0,44.9,15.4,39.6,15.0,8.8,10.6,209,497,71.0,60.0,33.0,22.0,23.0,9.0,37.0,107.0,189.0,155.0,9.3,90.7,221.0,552.0,541.0,570.0
Lowell High,Public School,3145,583.0,325.0,10.3,1771.0,56.3,1393.0,44.3,11.3,32.0,23.8,30.8,0.1,0.0,1.9,50.0,50.0,18.3,82.0,3.4,2.0,5.8,575.0,448.0,77.9,0.0,14.3,48.4,37.3,47.5,9.6,24.3,350,599,203.0,73.0,48.0,24.0,2.0,105.0,163.0,144.0,120.0,67.0,44.7,55.3,445.0,465.0,446.0,491.0
Ludlow Senior High,Public School,895,82.0,128.0,14.3,272.0,30.4,182.0,20.3,2.0,0.6,7.8,87.5,0.2,0.0,1.9,49.5,50.5,14.6,94.4,0.0,0.5,2.6,190.0,152.0,80.0,0.0,36.2,42.1,21.7,42.1,5.9,12.5,124,220,64.0,36.0,13.0,10.0,1.0,26.0,53.0,87.0,37.0,17.0,35.9,64.1,123.0,499.0,490.0,505.0
Lunenburg High,Public School,439,12.0,55.0,12.5,92.0,21.0,62.0,14.1,3.2,4.3,2.7,87.7,0.5,0.2,1.4,48.3,51.7,15.3,93.7,0.0,1.1,1.1,102.0,89.0,87.3,0.0,25.8,13.5,60.7,13.5,24.7,19.1,89,195,26.0,31.0,23.0,7.0,2.0,8.0,57.0,55.0,48.0,27.0,33.3,66.7,79.0,533.0,505.0,525.0
Classical High,Public School,1569,912.0,188.0,12.0,904.0,57.6,687.0,43.8,11.9,11.7,50.9,22.8,0.2,0.1,2.4,52.9,47.1,19.9,79.5,1.1,1.4,13.4,281.0,178.0,63.3,0.0,16.3,52.8,30.9,50.0,14.0,11.8,146,234,85.0,37.0,21.0,3.0,0.0,63.0,61.0,61.0,27.0,22.0,53.0,47.0,210.0,450.0,431.0,466.0
Lynn English High,Public School,1598,961.0,184.0,11.5,995.0,62.3,708.0,44.3,9.7,8.1,60.3,18.8,0.1,0.0,2.9,52.4,47.6,18.6,77.3,2.1,0.9,12.6,325.0,215.0,66.2,0.0,20.5,50.7,28.8,47.9,13.5,11.2,136,256,58.0,45.0,25.0,7.0,1.0,103.0,59.0,51.0,35.0,8.0,63.3,36.7,215.0,449.0,440.0,455.0
Lynn Vocational Technical Institute,Public School,969,603.0,240.0,24.8,661.0,68.2,472.0,48.7,8.6,6.0,66.9,15.9,0.2,0.0,2.5,57.9,42.1,15.8,78.5,0.5,0.5,5.4,120.0,54.0,45.0,0.0,14.8,77.8,7.4,75.9,3.7,3.7,31,44,22.0,5.0,4.0,0.0,0.0,28.0,8.0,5.0,2.0,1.0,81.8,18.2,64.0,423.0,398.0,439.0
Lynnfield High,Public School,628,22.0,93.0,14.8,134.0,21.3,49.0,7.8,2.1,3.0,3.5,90.1,0.0,0.0,1.3,48.9,51.1,16.4,98.8,0.0,0.6,0.0,152.0,133.0,87.5,0.0,54.1,12.8,33.1,12.8,6.8,15.8,149,332,43.0,59.0,25.0,14.0,8.0,18.0,50.0,98.0,92.0,74.0,20.5,79.5,147.0,530.0,541.0,547.0
MATCH Charter Public School,Charter School,1145,687.0,221.0,19.3,871.0,76.1,646.0,56.4,45.9,1.3,46.7,3.5,0.5,0.1,1.9,47.7,52.3,26.5,63.9,0.0,0.0,3.3,43.0,39.0,90.7,0.0,28.2,23.1,48.7,23.1,20.5,28.2,94,160,47.0,32.0,11.0,4.0,0.0,44.0,52.0,36.0,17.0,11.0,60.0,40.0,51.0,435.0,433.0,504.0
Ma Academy for Math and Science School,Public School,97,9.0,0.0,0.0,5.0,5.2,5.0,5.2,1.0,42.3,0.0,52.6,0.0,0.0,4.1,54.6,45.4,16.3,100.0,0.0,0.0,0.0,46.0,43.0,93.5,0.0,60.5,0.0,39.5,0.0,0.0,30.2,39,69,23.0,8.0,3.0,4.0,1.0,0.0,4.0,12.0,24.0,29.0,5.8,94.2,49.0,703.0,688.0,741.0
Malden High,Public School,1833,963.0,259.0,14.1,1069.0,58.3,731.0,39.9,21.2,23.4,22.9,28.6,0.4,0.1,3.4,50.6,49.4,19.1,84.5,1.5,1.3,5.3,427.0,327.0,76.6,0.0,26.9,38.2,34.9,37.3,9.5,22.9,490,871,247.0,136.0,83.0,20.0,4.0,254.0,255.0,224.0,99.0,39.0,58.4,41.6,322.0,455.0,444.0,507.0
Manchester Essex Regional High School,Public School,424,11.0,41.0,9.7,78.0,18.4,34.0,8.0,0.2,0.7,0.7,97.9,0.0,0.0,0.5,43.9,56.1,13.4,97.4,0.0,0.0,0.9,112.0,100.0,89.3,0.0,55.0,9.0,36.0,9.0,7.0,7.0,125,282,37.0,39.0,34.0,11.0,4.0,9.0,29.0,59.0,89.0,96.0,13.5,86.5,104.0,595.0,582.0,601.0
Mansfield High,Public School,1315,58.0,151.0,11.5,246.0,18.7,120.0,9.1,2.5,3.6,3.3,87.9,0.3,0.2,2.2,49.4,50.6,14.3,97.8,0.3,0.0,1.0,320.0,285.0,89.1,0.0,38.6,10.5,50.9,10.5,18.2,13.7,228,401,102.0,88.0,30.0,7.0,1.0,5.0,39.0,126.0,128.0,103.0,11.0,89.0,275.0,541.0,537.0,566.0
Marblehead High,Public School,1051,50.0,215.0,20.5,275.0,26.2,92.0,8.8,3.7,1.6,5.4,87.7,0.1,0.0,1.4,46.1,53.9,14.2,95.8,0.0,0.8,1.1,233.0,208.0,89.3,0.0,56.3,3.8,39.9,2.4,8.2,7.7,305,568,144.0,97.0,43.0,12.0,9.0,19.0,63.0,147.0,184.0,155.0,14.4,85.6,231.0,563.0,565.0,564.0
Marlborough High,Public School,1091,404.0,168.0,15.4,503.0,46.1,305.0,28.0,3.3,3.8,41.8,49.8,0.1,0.0,1.3,51.1,48.9,13.5,87.0,2.4,0.0,3.7,246.0,189.0,76.8,0.0,41.8,21.2,37.0,20.6,12.7,18.0,255,521,105.0,78.0,42.0,21.0,9.0,156.0,143.0,125.0,65.0,32.0,57.4,42.6,177.0,498.0,479.0,523.0
Marshfield High,Public School,1370,23.0,192.0,14.0,311.0,22.7,140.0,10.2,0.9,0.8,2.2,95.1,0.2,0.1,0.7,49.8,50.2,18.2,97.1,0.6,0.3,1.0,302.0,263.0,87.1,0.0,35.7,11.8,52.5,11.8,17.9,15.6,180,332,85.0,55.0,28.0,8.0,4.0,22.0,70.0,117.0,87.0,36.0,27.7,72.3,265.0,518.0,512.0,520.0
Martha's Vineyard Regional High,Public School,661,80.0,126.0,19.1,248.0,37.5,131.0,19.8,3.3,1.2,10.3,78.7,1.8,0.2,4.5,52.2,47.8,12.0,92.3,0.6,0.6,3.0,160.0,121.0,75.6,0.0,51.2,10.7,38.0,9.1,9.1,9.1,118,195,68.0,25.0,23.0,2.0,0.0,9.0,50.0,74.0,44.0,18.0,30.3,69.7,118.0,531.0,510.0,527.0
Masconomet Regional High School,Public School,1188,23.0,163.0,13.7,215.0,18.1,69.0,5.8,0.3,3.1,2.4,92.7,0.3,0.0,1.2,49.8,50.2,15.8,97.5,0.0,0.6,0.8,316.0,287.0,90.8,0.0,47.4,11.5,41.1,9.8,5.6,15.0,281,503,131.0,92.0,45.0,12.0,1.0,21.0,62.0,137.0,170.0,113.0,16.5,83.5,334.0,549.0,547.0,567.0
Mashpee High,Public School,415,12.0,72.0,17.3,152.0,36.6,98.0,23.6,3.6,1.7,3.4,80.5,5.1,0.0,5.8,54.5,45.5,11.4,90.2,0.0,0.0,4.9,104.0,72.0,69.2,0.0,31.9,30.6,37.5,29.2,11.1,13.9,120,225,64.0,25.0,16.0,12.0,3.0,31.0,86.0,57.0,43.0,8.0,52.0,48.0,75.0,501.0,477.0,492.0
Maynard High,Public School,502,42.0,89.0,17.7,159.0,31.7,86.0,17.1,4.8,3.8,11.2,76.9,0.2,0.0,3.2,49.2,50.8,16.4,88.4,4.7,1.2,3.5,72.0,55.0,76.4,0.0,29.1,21.8,49.1,21.8,12.7,14.5,85,135,39.0,42.0,4.0,0.0,0.0,11.0,33.0,52.0,19.0,20.0,32.6,67.4,68.0,540.0,524.0,546.0
Medfield Senior High,Public School,842,10.0,88.0,10.5,114.0,13.5,32.0,3.8,1.1,5.5,2.1,88.8,0.0,0.2,2.3,50.2,49.8,16.6,98.3,0.0,0.0,0.9,199.0,188.0,94.5,0.5,56.9,4.3,38.3,3.7,5.3,8.0,288,574,119.0,92.0,49.0,18.0,10.0,51.0,96.0,165.0,178.0,84.0,25.6,74.4,226.0,553.0,558.0,587.0
Medway High,Public School,762,2.0,89.0,11.7,121.0,15.9,48.0,6.3,1.3,1.8,3.0,91.6,0.4,0.1,1.7,50.9,49.1,16.6,96.7,0.5,0.5,1.0,180.0,158.0,87.8,0.0,39.9,7.0,53.2,6.3,10.8,20.9,286,573,124.0,85.0,41.0,25.0,11.0,52.0,87.0,150.0,179.0,105.0,24.3,75.7,186.0,535.0,526.0,547.0
Melrose High,Public School,988,85.0,147.0,14.9,235.0,23.8,117.0,11.8,7.8,4.0,4.6,80.5,0.0,0.0,3.1,47.0,53.0,18.1,95.8,0.0,0.0,2.1,219.0,185.0,84.5,0.5,34.6,16.8,48.1,16.2,13.0,23.8,268,583,104.0,74.0,48.0,27.0,15.0,64.0,111.0,154.0,160.0,94.0,30.0,70.0,207.0,530.0,527.0,534.0
Nipmuc Regional High,Public School,593,17.0,74.0,12.5,119.0,20.1,61.0,10.3,1.0,2.0,2.9,91.9,0.0,0.0,2.2,46.0,54.0,13.6,94.5,1.2,0.0,1.8,162.0,137.0,84.6,0.0,45.3,7.3,47.4,5.8,16.8,19.0,156,313,58.0,53.0,33.0,11.0,1.0,30.0,52.0,76.0,96.0,59.0,26.2,73.8,139.0,529.0,514.0,544.0
Methuen High,Public School,1891,466.0,204.0,10.8,721.0,38.1,571.0,30.2,0.2,4.0,33.7,56.6,0.2,0.1,5.1,52.0,48.0,16.7,87.9,2.5,1.0,5.2,418.0,325.0,77.8,0.0,23.7,48.6,27.7,46.5,6.2,15.4,351,552,216.0,84.0,38.0,11.0,2.0,114.0,191.0,146.0,77.0,24.0,55.3,44.7,262.0,473.0,459.0,482.0
Middleborough High,Public School,694,7.0,122.0,17.6,221.0,31.8,146.0,21.0,2.2,0.7,3.2,90.3,0.6,0.0,3.0,51.6,48.4,14.6,93.3,0.4,0.0,4.9,173.0,126.0,72.8,0.0,30.2,37.3,32.5,36.5,13.5,11.9,182,253,117.0,59.0,6.0,0.0,0.0,26.0,56.0,90.0,53.0,28.0,32.4,67.6,151.0,501.0,481.0,509.0
Milford High,Public School,1135,250.0,150.0,13.2,427.0,37.6,300.0,26.4,3.0,2.5,22.0,69.6,1.4,0.1,1.4,49.8,50.2,16.2,84.2,0.7,0.7,9.6,260.0,201.0,77.3,0.0,28.4,16.9,54.7,14.9,26.4,15.4,315,492,183.0,94.0,31.0,7.0,0.0,68.0,150.0,143.0,82.0,49.0,44.3,55.7,199.0,505.0,492.0,514.0
Millbury Junior/Senior High,Public School,727,32.0,126.0,17.3,257.0,35.4,165.0,22.7,2.5,1.9,7.4,84.9,0.3,0.1,2.9,49.2,50.8,15.2,96.0,0.0,1.0,0.0,130.0,98.0,75.4,0.0,27.6,24.5,48.0,23.5,32.7,12.2,69,115,41.0,14.0,10.0,4.0,0.0,17.0,45.0,31.0,13.0,9.0,53.9,46.1,69.0,480.0,459.0,492.0
Millis High School,Public School,390,2.0,43.0,11.0,73.0,18.7,38.0,9.7,2.6,1.8,3.6,89.5,1.0,0.3,1.3,49.5,50.5,14.5,93.8,0.0,1.0,4.1,93.0,82.0,88.2,0.0,50.0,7.3,42.7,7.3,13.4,15.9,93,149,52.0,30.0,8.0,2.0,1.0,10.0,33.0,49.0,37.0,20.0,28.9,71.1,84.0,516.0,496.0,503.0
Milton High,Public School,1001,83.0,119.0,11.9,215.0,21.5,112.0,11.2,21.1,7.1,5.1,62.1,0.0,0.4,4.2,49.1,50.9,16.9,96.9,0.0,0.0,0.4,224.0,200.0,89.3,0.0,45.5,12.5,42.0,11.5,6.0,21.5,281,589,109.0,74.0,68.0,22.0,8.0,43.0,101.0,198.0,151.0,96.0,24.4,75.6,204.0,530.0,524.0,555.0
Minuteman Regional High,Public School,582,29.0,281.0,48.3,363.0,62.4,152.0,26.1,6.2,3.3,10.1,76.8,0.3,0.0,3.3,66.5,33.3,12.0,88.0,0.0,0.6,1.9,163.0,94.0,57.7,0.0,28.7,43.6,27.7,42.6,6.4,14.9,19,25,14.0,4.0,1.0,0.0,0.0,4.0,6.0,8.0,6.0,1.0,40.0,60.0,80.0,480.0,448.0,470.0
Mohawk Trail Regional High,Public School,422,1.0,92.0,21.8,197.0,46.7,146.0,34.6,0.5,1.2,2.8,91.5,0.2,0.0,3.8,49.8,50.2,12.3,81.9,0.0,4.8,8.4,82.0,65.0,79.3,0.0,40.0,33.8,26.2,33.8,13.8,3.1,52,88,29.0,14.0,7.0,1.0,1.0,4.0,23.0,24.0,26.0,11.0,30.7,69.3,52.0,545.0,510.0,546.0
Monomoy Regional High School,Public School,599,42.0,89.0,14.9,185.0,30.9,123.0,20.5,6.5,2.2,3.5,83.0,0.7,0.0,4.2,50.1,49.9,12.3,89.5,0.0,0.9,4.4,85.0,65.0,76.5,0.0,41.5,33.8,24.6,32.3,7.7,4.6,88,169,37.0,32.0,10.0,7.0,2.0,28.0,40.0,45.0,36.0,20.0,40.2,59.8,79.0,546.0,524.0,532.0
Monson High School,Public School,287,4.0,25.0,8.7,65.0,22.6,49.0,17.1,0.7,0.7,1.7,94.1,0.0,0.3,2.4,49.8,50.2,14.7,96.7,0.0,0.0,2.2,76.0,62.0,81.6,0.0,30.6,41.9,27.4,33.9,12.9,8.1,98,125,75.0,19.0,4.0,0.0,0.0,31.0,42.0,30.0,13.0,9.0,58.4,41.6,70.0,497.0,480.0,500.0
Montachusett Regional Vocational Technical,Public School,1429,55.0,209.0,14.6,492.0,34.4,329.0,23.0,0.9,1.0,13.9,80.1,0.1,0.0,4.1,54.6,45.2,18.7,98.6,0.0,0.0,0.3,316.0,170.0,53.8,0.0,17.1,48.8,34.1,47.6,26.5,2.9,145,187,108.0,32.0,5.0,0.0,0.0,68.0,75.0,29.0,12.0,3.0,76.5,23.5,201.0,473.0,440.0,470.0
